	NK_D_L	NK_D_H	NK_E_L	NK_E_H	NK_F_L	NK_F_H	NK_K_L	NK_K_H	NK_L_L	NK_L_H	NK_M_L	NK_M_H	NK_N_L	NK_N_H
ENSG00000000003	0	0	0	0	0	0	10	28	0	0	0	0	16	0
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	4259	4364	2559	3267	3241	3306	4984	6235	4091	5030	4803	6114	5919	4630
ENSG00000000457	1026	615	1284	1252	1156	710	1521	1047	905	564	557	818	1809	1022
ENSG00000000460	372	279	278	371	347	300	848	560	352	487	136	299	718	497
ENSG00000000938	20165	18477	30856	23406	23216	18205	50005	35947	46550	38097	21420	29590	73479	52050
ENSG00000000971	24	31	16	3	2	5	8	8	8	0	1	4	25	31
ENSG00000001036	2441	1545	2114	1707	2568	1691	3233	3092	2843	2023	1809	2825	3702	2830
ENSG00000001084	2222	2153	1464	1629	1857	1609	3368	2370	1881	1262	1715	2177	4044	2528
ENSG00000001167	2360	2542	2308	2286	1922	1943	3570	2030	1548	1171	916	1531	3550	2169
ENSG00000001460	65	102	258	102	160	168	271	215	129	237	174	188	349	175
ENSG00000001461	3183	2895	4006	3464	3008	2905	7000	4458	3502	2985	2412	2846	6073	4682
ENSG00000001497	3813	4194	4639	3799	3757	3189	7185	5345	5098	3248	3234	4550	8258	6137
ENSG00000001561	2591	3429	1702	2688	1590	1792	7161	3935	1075	1177	1115	1270	2858	1774
ENSG00000001617	0	0	5	8	0	0	0	0	0	0	0	0	8	0
ENSG00000001626	0	0	3	0	0	0	0	0	0	0	0	2	0	0
ENSG00000001629	1760	1159	1756	1461	1620	1478	2787	1966	1874	1868	2216	2260	3988	2403
ENSG00000001630	585	788	609	642	346	482	590	574	402	706	611	522	647	556
ENSG00000001631	2036	1848	1829	1782	2600	2049	1433	1083	1052	1448	1842	1422	2404	1515
ENSG00000002016	317	299	523	381	488	343	695	529	670	348	290	426	1018	737
ENSG00000002079	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330	1625	1083	2209	1152	1417	1263	1529	1671	2028	3021	2230	2301	2294	2056
ENSG00000002549	5062	5146	5005	4563	4936	4742	8844	8081	5845	4402	5021	6777	9646	6632
ENSG00000002586	18588	19432	24029	20999	21224	21938	4	4	15	11	16	10	20	10
ENSG00000002587	0	0	6	0	0	2	0	1	0	3	4	6	80	45
ENSG00000002726	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000002745	0	9	0	0	0	15	0	30	14	0	0	5	36	19
ENSG00000002746	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	314	482	299	330	568	646	692	911	520	860	569	735	1077	752
ENSG00000002834	6392	7619	11053	8500	6030	5446	11094	6745	6139	4863	5109	6559	14291	10004
ENSG00000002919	2996	3479	3079	2535	2571	2130	4906	3944	2761	2351	3405	4074	4932	3623
ENSG00000002933	15	0	0	4	20	0	0	8	0	0	0	0	4	14
ENSG00000003056	5714	5163	6787	5690	6701	6254	11296	10860	8088	8345	5652	7158	20948	14860
ENSG00000003096	24	51	26	17	198	60	78	8	0	4	70	30	30	18
ENSG00000003137	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ENSG00000003147	180	42	228	121	109	80	176	132	153	135	372	168	274	163
ENSG00000003249	0	0	1	0	0	0	10	0	0	2	0	0	0	0
ENSG00000003393	1620	1576	1031	1220	1445	1484	1943	1250	1451	750	1041	1179	2690	1696
ENSG00000003400	2037	1571	1785	1316	1397	1367	2455	2078	1640	2077	1335	1517	3808	2496
ENSG00000003402	15312	15127	14116	11900	16102	15262	20613	17736	16789	22698	19455	17786	28575	21825
ENSG00000003436	5	0	7	0	33	0	14	0	2	0	0	0	0	8
ENSG00000003509	1627	1271	1186	1556	1011	1428	1872	1805	1477	1358	1508	1803	2159	1485
ENSG00000003756	13226	10336	13016	9816	11000	8572	12436	9277	8220	7563	9501	10451	14329	10168
ENSG00000003987	93	92	60	90	88	104	108	96	79	54	133	65	266	99
ENSG00000003989	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004059	8198	6822	9595	6110	7450	6696	10657	12610	12418	17808	16856	14647	15866	12852
ENSG00000004139	507	418	745	406	476	328	736	459	400	259	310	431	676	548
ENSG00000004142	4940	4554	5858	4259	4500	4692	10328	9293	8090	6669	5470	7555	12111	8510
ENSG00000004399	4284	3521	3489	2158	4097	3884	4489	3510	1534	1378	3207	5030	6792	5728
ENSG00000004455	6478	4278	5607	5082	5175	4673	13248	8888	8049	5573	4451	6326	11456	8464
ENSG00000004468	5564	3651	11986	10539	4884	4191	11533	7493	11622	9028	6226	6717	26615	15547
ENSG00000004478	1400	1651	1499	1476	769	1084	2454	2221	1670	1762	1321	1561	2232	1795
ENSG00000004487	7925	6344	7512	7031	6025	5296	9939	7072	6205	3389	4654	5533	8631	6991
ENSG00000004534	8391	8191	8262	7835	8420	7617	15015	10603	7561	6432	5806	8049	12305	10010
ENSG00000004660	145	114	81	119	30	62	192	99	59	43	143	271	145	147
ENSG00000004700	2492	3039	3187	3622	2282	2888	5880	3146	2087	842	893	1449	5206	3560
ENSG00000004766	1423	1363	1115	1236	1234	1288	2179	1380	1041	861	621	824	1859	1279
ENSG00000004776	0	0	0	4	4	0	0	0	0	0	2	0	0	0
ENSG00000004777	89	62	102	40	71	52	55	43	67	118	171	89	125	73
ENSG00000004779	3064	2028	2082	1860	2150	2128	4261	5562	5566	8216	7408	5817	7138	4895
ENSG00000004799	107	2	42	115	0	124	36	24	0	46	0	0	208	141
ENSG00000004809	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004838	301	280	544	263	237	204	422	207	188	279	202	472	376	310
ENSG00000004846	0	0	0	0	13	0	0	0	0	0	1	0	1	0
ENSG00000004848	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENSG00000004864	1914	1319	1898	1232	1774	1293	1372	1499	1680	990	1255	1261	2003	1406
ENSG00000004866	1007	1185	1193	1171	1189	1061	2098	1841	816	867	693	1288	1911	1488
ENSG00000004897	5158	4060	4216	4959	4211	4335	5948	5073	4594	3909	4165	4741	5425	4138
ENSG00000004939	4	1	0	0	2	2	0	2	4	4	4	0	1	0
ENSG00000004948	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961	475	687	604	627	896	839	1380	1569	887	1202	646	1316	1861	1275
ENSG00000004975	1817	1988	2863	1955	2196	1988	4459	3992	3681	2902	2059	3169	4000	4016
ENSG00000005001	51	92	41	67	18	40	23	13	19	74	14	27	14	25
ENSG00000005007	4644	5502	7012	6026	4045	4404	7533	3946	3936	2495	2499	3881	5612	4795
ENSG00000005020	4316	3878	5359	6462	3563	3522	9267	8146	7406	4738	3279	4863	7678	5315
